name,lat,lng
Stanford Court,33.6519428,-117.8374849
Princeton Court,33.6524,-117.8365
Oxford Court,33.6534774,-117.838135
Ambrose,33.6529957,-117.8350562
Dartmouth Court,33.6514,-117.8378
Columbia Court,33.6494,-117.8378
Berkeley Court,33.6489538,-117.8371128
Harvard Court,33.6502395,-117.8345497
Cornell Court,33.651,-117.8355
Mesa Court,33.6521107,-117.8446509
Middle Earth,33.6448829,-117.8372379
Puerta del Sol,33.6478177,-117.8330364
Verano,33.6442952,-117.8303251
Arroyo Vista,33.6467589,-117.8290433
Plaza Verde 1,33.6477741,-117.8289856
Plaza Verde 2,33.6474,-117.8281
Vista del Campo Norte,33.64645,-117.8234898
Vista del Campo,33.6443553,-117.8232207
Camino del Sol,33.6444904,-117.8248777
